word,cnt,jmdict_status
上着,2,""
世界,2,""
世話,2,""
中学校,2,""
主役,2,""
主要,2,""
乗客,2,""
乗車,2,""
予定,2,""
予約,2,""
交差点,2,""
交通費,2,""
人口,2,""
以上,2,""
以外,2,""
会社,2,""
伝言,2,""
住宅,2,""
住所,2,""
体力,2,""
何人,2,not found
作文,2,""
作法,2,""
便利,2,""
保存,2,""
信号,2,""
元気,2,not found
先生,2,""
入り口,2,""
入学,2,""
全部,2,""
公園,2,""
公平,2,""
共通,2,""
内容,2,""
再利用,2,not found
写真,2,""
写真家,2,""
冬休み,2,""
出口,2,""
出席,2,""
出発,2,""
列島,2,""
初級,2,""
制服,2,""
制限,2,""
加減,2,""
労働,2,""
勉強,2,""
動作,2,""
医者,2,""
南米,2,""
単位,2,""
原始,2,""
参加,2,""
参考,2,""
反対,2,""
反映,2,""
反省,2,""
可能,2,""
台所,2,""
台風,2,""
合同,2,""
同意,2,""
同様,2,""
告白,2,""
品物,2,""
問題,2,""
営業,2,""
図書館,3,""
園芸,2,""
地下鉄,3,""
地図,2,""
地理,2,""
場所,2,""
売店,2,""
売買,2,""
変化,2,""
夏休み,2,""
夕飯,2,""
外国,2,""
外国人,2,""
多少,2,""
大使館,2,""
大切,2,""
大変,2,""
大学,2,""
天気予報,2,not found
失敗,2,""
女の子,2,""
女子,2,""
女性,2,""
姉妹,2,""
存在,2,""
季節,2,""
学生,2,""
学習,2,""
安心,2,""
完成,2,""
完走,2,""
官庁,2,""
実例,2,""
実力,2,""
実現,2,""
実際,2,""
客席,2,""
家族,2,""
容器,2,""
容易,2,""
宿題,2,""
専門家,2,""
小学校,2,not found
小説,2,""
屋上,2,""
山道,2,""
工場,2,""
工夫,2,""
工業,2,""
左右,2,not found
店員,2,""
座席,2,""
弱点,2,""
形容詞,2,""
形式,2,""
必要,2,""
応接,2,""
思い出す,2,""
性格,2,""
意味,2,""
意地,2,""
手紙,2,""
指示,2,""
接続,2,""
支度,2,""
支配,2,""
政治,2,""
政治家,2,""
数,2,""
新聞,2,""
方向,2,""
方針,2,""
旅行,2,""
旅館,2,""
日本語,2,""
映画,2,""
昼ご飯,2,""
昼寝,2,""
普段,2,""
景色,2,""
最低,2,""
最新,2,""
最終,2,""
有名,2,""
有無,2,""
朝ご飯,2,""
期待,2,""
期限,2,""
未来,2,""
本屋,2,""
本音,2,""
林業,2,""
校長,2,not found
案内,2,""
楽器,2,""
様子,2,""
機能,2,""
欠席,2,""
次男,2,""
次第に,2,""
正直,2,""
毛皮,2,""
民族,2,""
気持ち,2,""
気温,2,""
永遠,2,""
注意,2,""
注目,2,""
洋服,2,""
洗面,2,""
洗顔,2,""
温度,2,""
温暖化,2,""
漢字,2,""
点数,2,""
無限,2,""
物語,2,""
特別,2,""
現実,2,""
理由,2,""
産業,2,""
用事,2,""
男の子,2,""
男性,2,""
番号,2,""
病気,2,""
病院,2,""
発表,2,""
発見,2,""
登場,2,""
登山,2,""
登録,2,""
皮肉,2,""
目的,2,""
直接,2,""
直線,2,""
直角,2,""
相当,2,""
相次ぐ,2,""
相続,2,""
真実,2,""
短期,2,""
短気,2,""
石油,2,""
研究会,2,""
社員,2,""
社長,2,""
祖母,2,""
神様,2,""
答案,2,""
算数,2,""
節約,2,""
終点,2,""
経営,2,""
経由,2,""
経験,2,""
線路,2,""
美容,2,""
考え方,2,""
自転車,2,""
花見,2,""
芸能,2,""
苦労,2,""
苦痛,2,""
英語,2,""
薬局,2,""
血圧,2,""
表現,2,""
表紙,2,""
西洋,2,""
要点,2,""
見解,2,""
親切,2,""
観客,2,""
観念,2,""
角,2,""
解決,2,""
言語,2,not found
計画,2,""
試合,2,""
試験,2,""
説明,2,""
質問,2,""
身長,2,not found
輸血,2,""
通う,2,""
通信,2,""
通勤,2,""
通路,2,""
連続,2,""
運動,2,""
運転,2,""
過去,2,""
過失,2,""
遠足,2,""
部屋,2,""
部長,2,""
都合,2,""
配達,2,""
重要,2,""
野菜,2,""
銀行,2,""
限界,2,""
雨量,2,""
電気,2,""
電話,2,""
電話代,2,""
青春,2,""
面接,2,""
音楽,2,""
順番,2,""
頭痛,2,""
食事,2,not found
食器,2,""
食堂,2,""
食料品,3,not found
飲酒,2,""
首相,2,""
首都,2,""
黒字,2,""