jlpt,entry,word,yomikata,meaning,in_jmdict
4,24,20度,にじゅうど,20도,N
4,171,~回,~かい,~회,N
4,122,〜町,〜ちょう,~쵸,N
5,13,世界中,せかいちゅう,전세계,Y
4,22,代わりに,代わりに,대신에,Y
5,67,何が,なにが,무엇이,N
5,1,何人,なんじん,몇 명,Y
4,145,借り,るかりる,빌리다,Y
4,23,側縁図,そくえんず,측면도,N
5,24,元気,けんき,건강,Y
3,57,再利用,さいりょう,재이용,Y
5,15,前に,まえに,전에,N
5,14,勤務外,きんむがい,근무외,N
4,86,十万弱,じゅうまんじゃく,10만이 좀 안 됨,N
5,21,南口,まなみぐち,남쪽 출구,Y
5,35,古本屋,ふるほんゃ,헌책방,Y
4,27,同い,おなじ,같음,N
5,8,同期生,とうきせい,동기생,Y
3,71,変だ,へんだ,이상하다,N
5,32,多数决,たすうけつ,다수결,N
4,76,大阪市,おおさかし,오사카 시,N
5,23,天気予報,てんきようほう,날씨예보,Y
4,169,好きだ,すきだ,좋아하다,N
5,28,小学校,しょううがっこう,소학교,Y
5,33,少年,しょねん,소년,Y
5,17,左右,さゆう,죄우,Y
4,76,市会議,しかいぎ,시의회,N
3,165,平らだ,たいらだ,평평하다,N
4,119,成田,なりた,나리타,N
4,41,文学,びんがく,문학,Y
5,71,新宿駅,しんじゅくえき,신주쿠역,N
3,125,昨日,さくじつ / きのう,어제,Y
5,19,東海岸,とうかいがん,동해안,Y
5,6,校長,こうちょう,교장,Y
3,152,次々と,つぎつぎと,계속해서,N
4,88,洋楽器,ようがっき,양악기,N
4,119,田中,たなか,다나카,N
4,15,直射光,ちょくしゃこう,직사광,N
4,147,着る,つく着るきる,입다,Y
3,107,紅葉,こうよう / もみじ,단풍,Y
3,62,美容院,びょういん,미용실,Y
4,119,羽田,はねだ,하네다,N
3,120,自由,じゅう,자유,Y
3,120,自由化,じゅうか,자유화,Y
5,20,西海岸,さいかいがん,서해안,Y
5,44,言語,けんご,언어,Y
5,31,身長,いんちょう,신장,Y
3,91,輸出量,ゆしゅつりょう,수출량,N
4,158,連絡便,れんらくびん,연락편,N
4,60,食事,しょくじ,식사,Y
4,159,食料品,しょくちょうひん,식료품,Y
3,173,～向き,～むき,~향,N
3,173,～向け,～むけ,~용,N
3,139,～際,～さい,~때,N